Fichero actualizado a fecha: 2014-10-19 02:29:29
Nombre del Organismo;Descripción;DatosPersonales;Dirección;Calle;CodigoPostal;Localidad;Localidad;SoloClasificar;Teléfono;Telefax oficial;Fax;e-mail;Páginas de internet;Posicion;Información Adicional;Directorio Superior;Identificador Directorio Superior;Identificador;FechaModificacion;Enlace al contenido;
"Casa de Cultura (Villablino)";;;;"Plaza Luis Mateo, s/n";"24100";"Villablino";"1179298006426";;"987 471 984";;;;;"42.939781583702846#-6.3217949867248535#88";;"León";"1284266925489";1284260173188;20140124;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284260173188/DirectorioPadre";
"Espacio Vías (León)";;;;"Avenida del Padre Isla, 48 - Plaza de la Juventud";"24002";"León";"1179297860755";;"987 875 524";;"987 875 969";"espaciovias@aytoleon.es";;"42.60282426478417#-5.575926303863525#94";;"León";"1284266925489";1284261339719;20140124;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284261339719/DirectorioPadre";
"Casa de la Juventud (Velilla del Río Carrión)";;;;"San José de Calasanz, s/n";;"Velilla del Río Carrión";"1179298132268";;;;;;;"42.826332#-4.844166#88";;"Palencia";"1284266925651";1284236123007;20140124;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284236123007/DirectorioPadre";
"Centro Cultural Antigua Cárcel de Palencia";;;;"Avda. Valladolid, 26";;"Palencia";"1179298103860";;"979 71 81 00 (Ayto.)";;;;;"41.99960377143338#-4.5253076396422784#100";;"Palencia";"1284266925651";1284358572117;20140819;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284358572117/DirectorioPadre";
"Salamanca";;;;;;;;"Si";;;;;;;;"Centros culturales polivalentes";"1284235937971";1284266925920;20130429;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284266925920/DirectorioPadre";
"Espacio Joven de Salamanca";"Ayuntamiento de Salamanca";;;"José Jáuregui, 16";"37002";"Salamanca";"1179298323669";;"923 281 101";;"923 281 157";"espaciojoven@aytosalamanca.com";"http://juventud.aytosalamanca.es/";"40.969076083820724#-5.662379264831543#94";"<p>En una superficie de mil metros cuadrados dise&ntilde;ado por, para y con los j&oacute;venes, y en el que el Excmo. Ayuntamiento de Salamanca y la Junta de Castilla y Le&oacute;n han realizado un proyecto en consonancia con las inquietudes juveniles. Se trata de un espacio plural donde tiene cabida todos los j&oacute;venes independientemente de sus estudios o nivel de formaci&oacute;n, es un lugar donde se pretende que cualquier joven pueda participar, en &eacute;l se intenta dar soluci&oacute;n a los distintos problemas y necesidades que presenta la poblaci&oacute;n joven: vivienda, formaci&oacute;n, salud...</p>
<p>En el Espacio Joven destaca la eliminaci&oacute;n de barreras arquitect&oacute;nicas, con rampas antideslizantes, ascensores mec&aacute;nicos y servicios adaptados, que garantizan el igual acceso a los servicios.</p>
<p>Cuenta con distintos espacios dedicados a:</p>
<ul>
<li>Sala de Exposiciones</li>
<li>Sala de Conferencias</li>
<li>Aula Polivalente</li>
<li>Sala de Juntas</li>
<li>Aula de J&oacute;venes en Red</li>
</ul>
<p>La Sala de Exposiciones consta de&nbsp;200m<sup>2</sup>, y cuenta con&nbsp;un sistema de colgado con ganchos y barras para su f&aacute;cil colocaci&oacute;n, donde los j&oacute;venes artistas pueden mostrar sus obras en distintas modalidades: pintura, escultura, fotograf&iacute;a, manualidades etc. El tiempo m&aacute;ximo que se ofrece es de treinta d&iacute;as, incluido el tiempo de montaje y desmontaje.</p>";"Salamanca";"1284266925920";1284236222886;20130517;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284236222886/DirectorioPadre";
"Centro Cultural (Guijuelo)";"Pública";;;"C/ Príncipe Felipe, 55";"03770";"Guijuelo";"1179298254513";;"923 158 045";;"923 580 787 (Ayto.)";;;"40.554832#-5.6677876#88";;"Salamanca";"1284266925920";1284236225606;20140124;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284236225606/DirectorioPadre";
"Centro Sociocultural de Caja España-Duero Plaza de Trujillo (Salamanca)";;;;"Plaza de Trujillo, s/n";"37003";"Salamanca";"1179298323669";;"923 280 360";;;"obrasocial@cajaduero.es";;"40.965009280015074#-5.650448799133301#88";;"Salamanca";"1284266925920";1284242840560;20140124;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284242840560/DirectorioPadre";
"Centro Cultural Viejo (Monleras)";;;;"C/ Travesía de la Cuesta, 2";"37171";"Monleras";"1179298289726";;;;;;;"41.18598177778696#-6.225095987319946#94";;"Salamanca";"1284266925920";1284253049303;20140124;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284253049303/DirectorioPadre";
"Centro Municipal Integrado Julián Sánchez ?El Charro"" (Salamanca)";"Ayuntamiento de Salamanca";;;"Plaza de la Concordia, s/n";"37005";"Salamanca";"1179298323669";;"923 125 695";;;"cmicharro@aytosalamanca.es";"http://participacionsocial.aytosalamanca.es/";"40.96905583143473#-5.6608182191848755#94";;"Salamanca";"1284266925920";1284259010468;20140124;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284259010468/DirectorioPadre";
"Centro Cívico El Campillo (Valladolid)";"MUNICIPAL";;;"C/ Hostieros, 1.";;"Valladolid";"1179469311668";;"983 305 525";;;;"http://www.valladolid.es/";"41.647957#-4.722661#88";;"Valladolid";"1284266926630";1284236123490;20140124;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284236123490/DirectorioPadre";
"Institución Ferial de Valladolid";;;;"Avenida Ramón Pradera, 3";"47009";"Valladolid";"1179469311668";;"983 429 300";;"983 355 935";;"http://www.feriavalladolid.com";"41.655358915853796#-4.738562107086182#88";"<p>Feria de Valladolid dispone de un parque ferial integrado por cuatro pabellones cubiertos, auditorio, centro de congresos, salas de conferencias y espacios al aire libre, en el que es posible celebrar cualquier tipo de actividad ferial.</p>
<p>Una de las caracter&iacute;sticas de este recinto es la polivalencia de sus instalaciones, capaces de acoger tanto ferias de contenido estrictamente comercial como aquellos otros eventos en los que priman aspectos de car&aacute;cter congresual, reuniones t&eacute;cnicas, convenciones, presentaciones de productos, etc.</p>
<p>&nbsp;</p>
<p>El Centro de Congresos&middot;Valladolid es el escenario id&oacute;neo para el desarrollo de diferentes actividades profesionales. Se trata de un conjunto de salas vers&aacute;tiles con aforos que oscilan entre 60 y 240 plazas, un auditorio con capacidad para 600 personas equipado con la tecnolog&iacute;a necesaria para atender las demandas de este tipo de reuniones y pabellones en los que tienen cabida hasta 10.000 personas.</p>
<p>&nbsp;</p>
<p>La privilegiada ubicaci&oacute;n del parque ferial facilita el acceso de expositores y visitantes, -se encuentra a cinco minutos de la Plaza Mayor de Valladolid- y, al mismo tiempo, dispone de excelentes comunicaciones con el aeropuerto y las principales v&iacute;as de acceso por carretera.&quot;</p>
<ul>
<li>Superficie bruta de exposici&oacute;n cubierta: 38.473 m&sup2;</li>
<li>Superficie bruta de exposici&oacute;n al aire libre: 30.686 m&sup2;</li>
<li>Parking (n&deg; plazas): 1.100</li>
<li>Instalaciones congresuales permanentes: 9 salas / 2.200 plazas</li>
</ul>";"Valladolid";"1284266926630";1284289457943;20131017;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284289457943/DirectorioPadre";
"Centro Cívico Pilarica";"Ayuntamiento de Valladolid";;;"C/ Puente la Reina, 1";"47011";"Valladolid";"1179469311668";;"983 396 577";;"983 399 543";"ccpi@ava.es";"http://www.valladolid.es/";"41.652360606180565#-4.708870191726646#82";;"Valladolid";"1284266926630";1284318500603;20140428;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284318500603/DirectorioPadre";
"Centro Cultural Palacio de La Alhóndiga (Zamora)";"Ayuntamiento de Zamora";;;"Plaza de Santa Ana, 7";"49006";"Zamora";"1179469491795";;"980 508 028";;"980 534 244";"cultura@zamora.es";;"41.507323925334255#-5.7457369565963745#88";"<p>Antigua Alh&oacute;ndiga de Pan, hoy convertida en moderno centro cultural. Acoge servicios municipales y amplios espacios para la celebraci&oacute;n de diferentes eventos.</p>
<p>Congresos: dispone de un sal&oacute;n (gratuito previa reserva), medios audiovisuales, despachos, salas de prensa, tel&eacute;fonos p&uacute;blicos y conexiones a internet, ca&ntilde;&oacute;n multimedia, parking (cercano), sala de exposiciones, ascensor, asesoramiento de organizaci&oacute;n de congresos.</p>
<p>Sal&oacute;n: 140 personas<br />
&nbsp;</p>";"Zamora";"1284266926849";1284256258460;20140124;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284256258460/DirectorioPadre";
"Salas de exposiciones y galerías de arte";;;;;;;;"Si";;;;;;;;"Infraestructuras Culturales";"1284235937434";1284235939176;20140120;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284235939176/DirectorioPadre";
"Sala de Exposiciones del Consulado del Mar";"Diputación Provincial de Burgos";;;"Pº del Espolón, 14";"09003";"Burgos";"1179297447246";;"947 200 492";;;;;"42.340202#-3.7027302#88";"<p>El edificio del Consulado del Mar,&nbsp;levantado en estilo neocl&aacute;sico por D. Manuel Eraso en 1796 y ubicado en el Paseo del Espol&oacute;n de la capital burgalesa, es sede de la Academia Provincial de Dibujo, cuyo nombre en un principio fue Academia Patri&oacute;tica de Dibujo.</p>
<p><strong>Horario de visitas: </strong>De martes a viernes de 19 a 21 h. S&aacute;bados de 12 a 14 h. Y de 19 a 21 h. Domingos y festivos de 10,45 a 14,15 h</p>";"Burgos";"1284267225717";1284236170316;20130531;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284236170316/DirectorioPadre";
"Centro de Arte Galería ""Río 10""";"Privado";;;"C/ Río, 10";"09140";"Quintanilla Vivar";"1179297604494";;"947 292 237";;;"galeriario10@hotmail.com";"http://www.galeriario10.com/";"42.423337720767655#-3.6796367168426513#76";"<p>El Centro de Arte Galer&iacute;a R&iacute;o 10 abri&oacute; sus puertas el 1 de diciembre de 2006, con la idea de crear un espacio integrador y servir de lugar de encuentro para artistas, coleccionistas y aficionados al arte contempor&aacute;neo. Desde entonces viene desarrollando una continua actividad expositiva.</p>";"Burgos";"1284267225717";1284246268047;20130531;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284246268047/DirectorioPadre";
"Galería Sharon Art";;;;"C/ Cervantes, 10, entrada Damaso Merino";"24003";"León";"1179297860755";;"987 072 438, Móvil 605 813 569";;;"info@sharonart.es";"http://www.sharonart.es";"42.599195438446095#-5.568775534629822#88";;"León";"1284267225858";1284242864206;20130531;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284242864206/DirectorioPadre";
"Sala de Exposiciones del Servicio Territorial de Cultura de Palencia";"Junta de Castilla y León. Consejería de Cultura y Turismo";;;"Obispo Nicolás Castellanos";"34001";"Palencia";"1179298103860";;;;;;;"42.013535#-4.5330586#88";;"Palencia";"1284267226003";1284236177147;20130516;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284236177147/DirectorioPadre";
"Sala Cultural del Palacio de los Villalobos-Solórzano (Caja España)";;;;"C/ Del Puente";"34800";"Aguilar de Campoo";"1179298051138";;;;;;;"42.79296008261772#-4.262502193450928#94";"<p>Situado entre el Ayuntamiento y la Puerta de la Cascajera, este edificio de doble planta se destaco en su momento por ser, durante varios a&ntilde;os, la vivienda del Cabildo de la Colegiata.<br />
Actual sede de Caja Espa&ntilde;a , su puerta principal llama la atenci&oacute;n por las columnas que la guardan y el gran escudo de armas que luce sobre ella.<br />
En la planta superior, unas discretas ventanas y balcones de madera salpican la fachada.</p>";"Palencia";"1284267226003";1284236225259;20130531;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284236225259/DirectorioPadre";
"Centro de Estudios Ambientales de Tierra de Campos (Fuentes de Nava)";;;;"Calle Corro Postigo, 1";"34337";"Fuentes de Nava";"1179298083590";;"979 842 398";;"979 842 399";;;"42.08217148761665#-4.783172607421875#82";"Cuenta, entre otros servicios, con sala de exposiciones.";"Palencia";"1284267226003";1284236235508;20140121;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284236235508/DirectorioPadre";
"Sala de Exposiciones del Ayuntamiento de Lomas de Campos";;;;"C/ Santa Ana, 3";"34449";"Lomas";"1179298092436";;"979 888 108";;;"ayto-lomasdecampos@dip-palencia.es";;"42.27372058770848#-4.551043510437012#88";;"Palencia";"1284267226003";1284337836338;20140630;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284337836338/DirectorioPadre";
"Sala de Exposiciones de San Eloy (Caja Duero)";"Gestionada por la Obra Social de Caja Duero";;;"Plaza de San Boal, s/n";"37002";"Salamanca";"1179298323669";;"923 211 439 (Obra Social Caja Duero)";;;;;"40.967697#-5.6631656#88";"Esta sala acoge algunas de las exposiciones más importantes que se muestran en la ciudad. <br />En ocasiones expone fondos de colecciones de autores o museos de prestigio.<br />";"Salamanca";"1284267226145";1284236176241;20130531;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284236176241/DirectorioPadre";
"Sala de Exposiciones Municipal";"Pública (Ayto.)";;;"C/ Terán, 55";"37230";"Hinojosa de Duero";"1179298259840";;"923 515 003 (Ayto.)";;;;;"40.98744#-6.7942443#88";"Se realizan exposiciones cada tres semanas.<br />Dimensiones: 15 x 5 m.<br />Sistema de montaje en varillas.<br />Iluminación: focos dirigibles.<br /><br />Horario:<br />Fines de semana y festivos. Sábados de 17:30 a 20:00 hrs. Domingos y festivos de 12:00 a 14:00 hrs y de 17:00 a 18:30 hrs.";"Salamanca";"1284267226145";1284236221179;20130531;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284236221179/DirectorioPadre";
"Segovia";;;;;;;;"Si";;;;;;;;"Salas de exposiciones y galerías de arte";"1284235939176";1284267226286;20130430;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284267226286/DirectorioPadre";
"Galería de Arte Zaca";"Privada";;;"Pza. del Vidriado 3 y 4";"40100";"San Ildefonso O La Granja";"1179298554904";;"921 471 311";;;;;"37.178726#-3.5907056#88";"En esta galería, además de las exposiciones que mensualmente se van actualizando, se expone permanentemente la obra de diversos artistas, técnicas y temáticas.<br /><br />Dispone de una superficie total de 200 m2 distribuidos en 4 salas.<br />Sistema de montaje en varillas y guías con focos dirigibles.<br /><br />";"Segovia";"1284267226286";1284236172296;20130531;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284236172296/DirectorioPadre";
"Galería Montón de Trigo Montón de Paja";;;;"Plaza de la Merced 1 y Juan Bravo, 21";"40003";"Segovia";"1179298563848";;"921 460 769";;;;"http://www.montondetrigomontondepaja.com/blog/galeria-de-arte/";"40.95121106433501#-4.126889705657959#100";;"Segovia";"1284267226286";1284236172517;20130531;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284236172517/DirectorioPadre";
"Sala de Exposiciones La Alhóndiga";;;;"Plaza de la Alhóndiga, 1";"40001";"Segovia";"1179298563848";;"(+34) 921 462 779";;;"cultura@segovia.es";;"40.948245246249364#-4.121895432472229#100";;"Segovia";"1284267226286";1284238541271;20130531;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284238541271/DirectorioPadre";
"Soria";;;;;;;;"Si";;;;;;;;"Salas de exposiciones y galerías de arte";"1284235939176";1284267226433;20130430;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284267226433/DirectorioPadre";
"Sala de Exposiciones";;;;"Plaza de la Iglesia";"42240";"Medinaceli";"1179469162258";;"975 326 109";;;;;"41.171455#-2.4345908#88";;"Soria";"1284267226433";1284236221110;20130531;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284236221110/DirectorioPadre";
"Galería de Arte Galeriarte";"Titularidad Privada";;;"C/ Ruiz Hernandez";"47005";"Valladolid";"1179469311668";;;;;;;"41.652813#-4.7200327#88";;"Valladolid";"1284267226575";1284236171463;20130603;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284236171463/DirectorioPadre";
"Sala de Exposiciones del Ayuntamiento de Íscar";"Ayuntamiento de Iscar";;;"Plaza Mayor, 1";"47420";"Iscar";"1179469259367";;"983 611 003";;;;;"41.36144603558905#-4.533963203430176#94";;"Valladolid";"1284267226575";1284236176538;20130516;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284236176538/DirectorioPadre";
"Sala Municipal de Exposiciones del Teatro Calderón";"Ayuntamiento de Valladolid";;;"C/ Leopoldo Cano, s/n";"47003";"Valladolid";"1179469311668";;"983 426 450";;"983 426 254 (FMCVA)";;;"41.653915#-4.725261#88";"<p>Horario:<br />
De martes a domingo y festivos de 12:00 a 14:00 hrs. y de 18:30 a 21:30 hrs. <br />
Lunes: cerrado. <br />
<br />
Caracter&iacute;sticas:<br />
Salas: una en una planta. <br />
Metros expositivos: 289,35 m2. <br />
Metros lineales de pared: 67,50 m. <br />
Ocho paneles desplegables de 7,50 m de largo. <br />
Altura: M&aacute;xima de 3,35 m en la sala principal y 4,20 m en la entrada y zona de control. <br />
Acceso: Puerta a nivel de calle (C/ Las Angustias) y por puerta lateral (C/ Leopoldo Cano s/n) <br />
Calefacci&oacute;n: Sistema de calefacci&oacute;n por aire y elementos terminales y tipo fancoil. <br />
Zonas de servicios: Dispone de un vest&iacute;bulo con mobiliario para control y cuenta con transportador para minusv&aacute;lidos. <br />
Iluminaci&oacute;n: Ba&ntilde;adores de pared de 150 W. regulables en intensidad. <br />
Condiciones ambientales: HR 45 % (&plusmn; 5) y T 19&ordm; (&plusmn; 1). <br />
Seguridad:<br />
- Sistema de detecci&oacute;n de intrusos mediante infrarrojos en todos los accesos, con alarma y conectado a la Polic&iacute;a Municipal. <br />
- Sistema de detecci&oacute;n de incendio con alarma y conectado a la Polic&iacute;a Municipal. <br />
- Circuito cerrado de T.V. con c&aacute;maras fijas situadas en las salas. Tres monitores (alternativa manual y autom&aacute;tica) en el puesto de vigilancia. <br />
- En el horario de visitas la sala dispone de un vigilante. <br />
- Extintores situados en zonas expositivas y de servicio. <br />
Posibles usos: El espacio es adecuado para exposiciones de pintura, escultura y fotograf&iacute;a. <br />
&nbsp;</p>";"Valladolid";"1284267226575";1284236223262;20130603;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284236223262/DirectorioPadre";
"C.A.M. CENTRO DE ARTE MUNICIPAL";;;;"Plaza de la Villa";"47160";"Arrabal de Portillo";"1179469277659";;"983556240";;;"ayto.portillo@dip-valladolid.es";"http://www.portillo.es";"41.4735567#-4.592109800000003#88";;"Valladolid";"1284267226575";1401350936101;20140602;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1401350936101/DirectorioPadre";
"Salón de Actos de la Cámara de Comercio de Ávila";;;;"Eduardo Marquina, 6.";;"Ávila";"1179297192481";;"920 211 173";;"920 255 159";;;"40.656654#-4.6945276#88";;"Ávila";"1284268281526";1284236226043;20130508;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284236226043/DirectorioPadre";
"Soria";;;;;;;;"Si";;;;;;;;"Salones de actos";"1284235939494";1284268283613;20130508;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284268283613/DirectorioPadre";
"Valladolid";;;;;;;;"Si";;;;;;;;"Salones de actos";"1284235939494";1284268283862;20130508;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284268283862/DirectorioPadre";
