Fichero actualizado a fecha: 2014-10-19 14:41:17
Nombre del Organismo;Descripción;DatosPersonales;Dirección;Calle;CodigoPostal;Localidad;Localidad;SoloClasificar;Teléfono;Telefax oficial;Fax;e-mail;Páginas de internet;Posicion;Información Adicional;Directorio Superior;Identificador Directorio Superior;Identificador;FechaModificacion;Enlace al contenido;
"Museo Monasterio de Santa María la Real de Vileña";;;;"Ctra. de Medina";"09550";"Villarcayo de Merindad de Castilla La Vieja";"1179297735539";;"947 100042 / 131042";;;;;"42.91588#-3.507205#88";"<p>El museo alberga obras funerarias labradas en piedra, de los siglos&nbsp;XIII&nbsp;y XIV.<br />
Calvario del siglo&nbsp;XIV, tallas en madera del&nbsp;s. XIV y documentos de gran inter&eacute;s.</p>";"Burgos";"1260887607899";1284236154619;20130528;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284236154619/DirectorioPadre";
"Aula Arqueológica de Roa";;;;"C/ Azorín, 2";;"Roa";"1179297610830";;"947 540 161 / 947 540 024";;;;;"37.32528#-79.97528#88";"Recreación de diferentes aspectos de la vida de las tribus prerromanas y de la ocupación romana de Roa. Comprende un ámbito cronocultural que va de los siglos II / III a.C. al V d.C.";"Burgos";"1260887607899";1284236168278;20130509;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284236168278/DirectorioPadre";
"Museo de la Real Colegiata de San Isidoro";;;;"Plaza de San Isidoro, 4.";"24003";"León";"1179297860755";;"987 876161";"987 876162";;"museo@museossanisidoro.com";"http://www.museosanisidorodeleon.com";"42.6003721648098#-5.570733547210693#94";;"León";"1260887607972";1261039894099;20141017;"http://www.museoscastillayleon.jcyl.es/web/jcyl/MuseosCastillayLeon/es/Plantilla100Detalle/1258100892610/_/1261039894099/DirectorioPadre";
"Museo de la Catedral de Astorga";;;"Plaza de la Catedral, s/n ? 24700 Astorga (León)";"Plaza de la Catedral, s/n.";"24700";"Astorga";"1179297766689";;"987 615820";;;;"http://www.diocesisastorga.es";"42.45750242514324#-6.057372093200684#88";"<p>Entre las m&aacute;s de quinientas piezas que componen sus fondos sobresalen una vistosa colecci&oacute;n de cordobanes y varias pinturas de estilo hispano-flamenco realizadas sobre tabla.</p>
<p>Por otro lado, no se puede dejar de mencionar la escultura que representa a Santo Toribio, Obispo de Astorga en el siglo V y patrono de la Di&oacute;cesis. Se trata de una primorosa obra del afamado Gaspar Becerra.</p>";"León";"1260887607972";1261039905260;20130524;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1261039905260/DirectorioPadre";
"Museo Vinos del Bierzo";;;"Avda. Constitución , 106 ? 24540 Cacabelos (León)";"Avda. Constitución , 106.";"24540";"Cacabelos";"1179297794667";;"987 546150";"987 549236";;"info@vinosdelbierzo.com";"http://www.vinosdelbierzo.com";"42.593485235924064#-6.717517375946045#94";"<p>El museo se inaugur&oacute; en el a&ntilde;o 1995. La colecci&oacute;n de objetos que se muestran est&aacute; en relaci&oacute;n con la elaboraci&oacute;n del vino desde un punto de vista hist&oacute;rico-industrial, pues en su mayor&iacute;a se trata de m&aacute;quinas del siglo XIX y principios del XX tales como sulfatadoras, alambiques, corchadoras, etc.</p>";"León";"1260887607972";1261039923670;20130603;"http://www.museoscastillayleon.jcyl.es/web/jcyl/MuseosCastillayLeon/es/Plantilla100Detalle/1258100892610/_/1261039923670/DirectorioPadre";
"Centro de Interpretación Cultural y Ambiental (CICA)";;;"Avda Picos de Europa s/n. 24210 Mansilla de la Mulas. León";"Avda Picos de Europa, s/n.";"24210";"Mansilla de las Mulas";"1179297865414";;"987 310549";;;;;"42.49880771184271#-5.41377067565918#82";;"León";"1260887607972";1261039954176;20130603;"http://www.museoscastillayleon.jcyl.es/web/jcyl/MuseosCastillayLeon/es/Plantilla100Detalle/1258100892610/_/1261039954176/DirectorioPadre";
"Museo Cofradías de Semana Santa";;;"Ermita de San Antonio. Paseo San Antonio s/n -24400 Ponferrada. León";"Ermita de San Antonio. Paseo San Antonio, s/n.";"24400";"Ponferrada";"1179297888504";;"987 412564, 673 125980";;;;;"42.54854356715592#-6.587011814117432#94";;"León";"1260887607972";1261039965698;20130603;"http://www.museoscastillayleon.jcyl.es/web/jcyl/MuseosCastillayLeon/es/Plantilla100Detalle/1258100892610/_/1261039965698/DirectorioPadre";
"Museo Etnográfico y de la Trashumancia";;;"Plaza del Ayuntamiento, s/n. 24885 Prioro. (León)";"Plaza del Ayuntamiento, s/n.";"24885";"Prioro";"1179297904700";;"987 715303";;;;;"42.89307030391786#-4.962644577026367#94";;"León";"1260887607972";1261041686236;20130603;"http://www.museoscastillayleon.jcyl.es/web/jcyl/MuseosCastillayLeon/es/Plantilla100Detalle/1258100892610/_/1261041686236/DirectorioPadre";
"Museo del Instituto Bíblico y Oriental";"Caja España.Con el patrocinio del grupo Eulen";;;"Colegiata de San Isidoro.Plaza Santo Martino, 5 León.";;"León";"1179297860755";;;;;"secretaria@biblicoyoriental.es";"http://www.biblicoyoriental.es/museo.php";"42.59989#-5.5717325#88";"<p>El Museo B&iacute;blico Antonovich alberga en sus dos plantas antig&uuml;edades b&iacute;blicas y orientales. La Biblia est&aacute; representada por sus textos en hebreo, arameo, griego, copto y eti&oacute;pico de los siglos IV-XVII, y por el espl&eacute;ndido Bel&eacute;n Hispano-napolitano del s. XVIII. El Oriente luce en la colecci&oacute;n de textos cuneiformes mesopot&aacute;micos (s. XXIV-V a.C.), en las estatuas, bajorrelieves y osarios de Siria y Palestina (s I-IV), en los altares y estelas del Yemen (s IX a.C.), en diversos objetos de &eacute;poca fara&oacute;nica y copta (s XX a.C.-II d.C.), en los c&oacute;dices e iconos de Etiop&iacute;a (s. XV), en los textos &aacute;rabes (s. XVII) y en las lucernas paleocristianas de Cartago (s. IV).</p>";"León";"1260887607972";1284236128037;20130521;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284236128037/DirectorioPadre";
"Colección Museográfica Cofradia de Nuestro Padre Jesús Nazareno";;;;"c/ Juan de Mansilla, nº 12";"24750";"Bañeza (La)";"1179297770767";;;;;"jesusnazareno@jesus-nazareno.es";"http://www.jesus-nazareno.es";"42.29927997490999#-5.8958762884140015#88";;"León";"1260887607972";1284312323477;20140319;"http://www.museoscastillayleon.jcyl.es/web/jcyl/MuseosCastillayLeon/es/Plantilla100Detalle/1258100892610/_/1284312323477/DirectorioPadre";
"Centro de Interpretación del León Romano - Casona de Puerta Castillo (León)";"Municipal";;;"Plaza Puerta Castillo, s/n";"24003";"León";"1179297860755";;;;;;;"42.60238254493848#-5.5697297292526855#106";"<p>Horario de las exposiciones: de lunes a domingo de 10:00 a 14:00 h. y de 17:00 a 20:00 h.</p>";"León";"1260887607972";1284368691261;20140922;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284368691261/DirectorioPadre";
"Museo de Arte Sacro de Ampudia";;;"Atrio de San Francisco s/n. 34191 Ampudia. (Palencia)";"Atrio de San Francisco s/n.";"34191";"Ampudia";"1179298056618";;"979 768504";;;;;"41.91487661961226#-4.78104829788208#94";;"Palencia";"1260887608045";1261040309922;20130603;"http://www.museoscastillayleon.jcyl.es/web/jcyl/MuseosCastillayLeon/es/Plantilla100Detalle/1258100892610/_/1261040309922/DirectorioPadre";
"Colección Eugenio Fontaneda";;;"Castillo. 34191 Ampudia. (Palencia)";"Castillo.";"34191";"Ampudia";"1179298056618";;"979 768023";;;"info@castillodeampudia.com";"http://www.castillodeampudia.com";"41.91281678251006#-4.783365726470947#94";;"Palencia";"1260887608045";1261040312616;20130530;"http://www.museoscastillayleon.jcyl.es/web/jcyl/MuseosCastillayLeon/es/Plantilla100Detalle/1258100892610/_/1261040312616/DirectorioPadre";
"Monasterio de Santa Clara. Museo y Palacio de Pedro I";;;"Monasterio Santa Clara. C/ María de Padilla, 2. 34450 Astudillo (Palencia)";"Monasterio Santa Clara. C/ María de Padilla, 2.";"34450";"Astudillo";"1179298059220";;"979 822134";"979 822134";;"secret-sc-astud@terra.es";;"42.19220108536799#-4.297456741333008#94";"<p>Se trata de un conjunto monumental mud&eacute;jar ubicado en el antiguo palacio del siglo XIV de don Pedro I y do&ntilde;a Mar&iacute;a de Padilla. Destacan los alfarjes y las yeser&iacute;as mud&eacute;jares, tallas, orfebrer&iacute;a, monedas, cantorales y documentos. Tambi&eacute;n encontramos una importante muestra de arte sacro.</p>";"Palencia";"1260887608045";1261040314351;20130528;"http://www.museoscastillayleon.jcyl.es/web/jcyl/MuseosCastillayLeon/es/Plantilla100Detalle/1258100892610/_/1261040314351/DirectorioPadre";
"Museo Valeriano Salas";;;"Centro Cultural San Francisco. Ronda de Navarra, 7. 37700 Béjar (Salamanca)";"Centro Cultural San Francisco. Ronda de Navarra, 7.";"37700";"Béjar";"1179298197469";;"923 411493";;;"museos@aytobejar.com";;"40.387775812116864#-5.767221450805664#94";"<p>El museo, que est&aacute; ubicado en el claustro del antiguo convento de San Francisco, alberga una excepcional colecci&oacute;n formada por objetos de diversa procedencia que constituyen el legado de Don Valeriano Salas y que fue donado por su mujer, Do&ntilde;a Mar&iacute;a Antonia Tellechea, en 1966.</p>
<p>En la primera sala del museo podemos encontrar una magnifica muestra de pintura espa&ntilde;ola del s.XIX y de las diferentes escuelas europeas: holandesa, flamenca, francesa y alemana de los siglos XVI al XIX, adem&aacute;s de diferentes figuras y objetos de arte oriental.</p>
<p>En la segunda, encontramos diversas pinturas, muebles y objetos de arte.</p>";"Salamanca";"1260887608341";1261041329292;20130529;"http://www.museoscastillayleon.jcyl.es/web/jcyl/MuseosCastillayLeon/es/Plantilla100Detalle/1258100892610/_/1261041329292/DirectorioPadre";
"Museo Catedralicio de Ciudad Rodrigo";;;"Plaza Salvador s/n. 37500 Ciudad Rodrigo (Salamanca)";"Plaza Salvador s/n.";"37500";"Ciudad Rodrigo";"1179298231776";;"923 481424";"923 480401";;;"http://www.catedralciudadrodrigo.com";"40.59873697573391#-6.53562068939209#94";"<p>La primera sala acoge objetos de piedra de distintas &eacute;pocas, entre los que destacan un ara romana en m&aacute;rmol; dos laudas sepulcrales con relieves episcopales del siglo XVI con superficie curva, por haber ocupado en su origen parte de la curvatura misma del muro en el &aacute;bside de la capilla mayor; una selecci&oacute;n de monedas de muy distintas &eacute;pocas, que pertenecen a la rica colecci&oacute;n no expuesta de la Catedral; y una selecci&oacute;n de pizarras visig&oacute;ticas, procedentes de Lerilla, con grabados y numeraciones, que fueron legadas a la Catedral por la hermana del can&oacute;nigo Seraf&iacute;n Tella.</p>
<p>La segunda sala esta dedicada a objetos relacionados con el culto, como son un terno rojo del siglo XVI, con bordados que representan diversas escenas evang&eacute;licas; varias cruces parroquiales entre las que sobresalen la de Monsagro y la de Atalaya, del siglo XIII, y las de Morasverdes y Aldehuela de Yeltes, del siglo XVI; un b&aacute;culo del siglo XIII, con esmaltes de Limognes, cuyo valor fue descubierto al cierre de las Edades del Hombre; un libro, que se tiene como el &quot;Libro de Horas&quot; de Isabel la Cat&oacute;lica, impreso en 1504, con abundant&iacute;simos grabados. Tambi&eacute;n se puede admirar un frontal enmarcado con el escudo de la catedral bordado en el siglo XVI</p>
<p>La tercera sala est&aacute; en la planta superior y est&aacute; dedicada a la escultura. En ella brillan de forma especial los crucifijos de marfil del siglo XVI y de origen filipino; una imagen de san Francisco de As&iacute;s, del siglo XVII, que estuvo en la iglesia de Pastores y que es de la escuela andaluza; una imagen tardorom&aacute;nica de la Virgen con el Ni&ntilde;o del siglo XIII; un Cristo Salvador, de Gil de Ronza, de principios del siglo XVI y un busto de Jesucristo &quot;Ecce Homo&quot;, del siglo XVII, de la escuela castellana.</p>
<p>En la &uacute;ltima sala, dedicada a la pintura se pueden ver al &quot;Llanto de Ad&aacute;n y Eva sobre Abel muerto&quot;, que es un cuadro de origen italiano del siglo XVII muy original por el tema y magn&iacute;fico por la perfecci&oacute;n de todos sus personajes; a &quot;San Miguel Arc&aacute;ngel&quot; de A. Esquivel, de mediados del siglo XIX; el &quot;Sacrificio de Isaac&quot;, copia an&oacute;nima de Caravaggio del siglo XVII y a &quot;San Pablo&quot; de Remesal, del siglo XVII. Remesal pertenec&iacute;a a una familia de artistas radicados en Ciudad Rodrigo y que dej&oacute; su firma en la espada del ap&oacute;stol.</p>
<p>Al final del museo, y con forma de ep&iacute;logo para la a&ntilde;oranza, se ha colocado la reproducci&oacute;n de las tablas que formaron el retablo de Fernando Gallego, que llen&oacute; el testero de la capilla mayor y que en la actualidad esta en Estados Unidos. A ella se une la presentaci&oacute;n en audiovisual, que permite admirar la originalidad en la representaci&oacute;n de las escenas b&iacute;blicas.</p>";"Salamanca";"1260887608341";1261041333349;20130603;"http://www.museoscastillayleon.jcyl.es/web/jcyl/MuseosCastillayLeon/es/Plantilla100Detalle/1258100892610/_/1261041333349/DirectorioPadre";
"Museo de la Radio. Colección Agustín de Castro. (""Los Sonidos del Ayer"")";"Pública";;;"Pza. de Julián Sánchez ""El Charro""";"37005";"Salamanca";"1179298323669";;;;;;;"40.970352#-5.6609983#88";"<p>Alberga 400 receptores de radio antiguos, desde las viejas &quot;galenas&quot; hasta la aparici&oacute;n del transistor, cedidos por el t&eacute;cnico salmantino Agust&iacute;n de Castro y expuestos de forma cronol&oacute;gica para observar su evoluci&oacute;n t&eacute;cnica y est&eacute;tica. Cuenta con un centro de documentaci&oacute;n sobre la historia de la radio y puestos para la audici&oacute;n individualizada de grabaciones hist&oacute;ricas.</p>";"Salamanca";"1260887608341";1284236148117;20130524;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284236148117/DirectorioPadre";
"Alcázar de Segovia / Museo de Armas";"Historia de Sitio.";;"Plaza de la Reina Victoria s/n. 40003 Segovia (Segovia)";"Plaza de la Reina Victoria s/n.";"40003";"Segovia";"1179298563848";;"921 460759, 921 460452";"921 460755";;"patronato@alcazardesegovia.es, reservas@alcazardesegovia.com";"http://www.alcazardesegovia.com";"40.952369804060815#-4.130301475524902#94";;"Segovia";"1260887608415";1261041372622;20130530;"http://www.museoscastillayleon.jcyl.es/web/jcyl/MuseosCastillayLeon/es/Plantilla100Detalle/1258100892610/_/1261041372622/DirectorioPadre";
"Museo Monasterio San Antonio El Real";;;"San Antonio El Real, 6. 40004 Segovia (Segovia)";"San Antonio El Real, 6.";"40004";"Segovia";"1179298563848";;"921 420228";;;"sanantonioelreal@galeon.com";"http://www.sanantonioelreal.galeon.com";"40.94309931684328#-4.111697673797607#94";"<p>Enrique IV, que tuvo aqu&iacute; un palacio de caza, lo don&oacute; el a&ntilde;o 1455 a los franciscanos y al abandonarlo &eacute;stos en 1488, fue ocupado por religiosas clarisas. En &aacute;ngulo con la fachada plateresca, adornada con las efigies orantes de los Reyes Cat&oacute;licos, est&aacute; la portada del templo labrada en g&oacute;tico isabelino con tres arcos, rebajado, conopial y trebolado, bajo alar morisco.<br />
En el interior del templo hay dos obras de arte que por s&iacute; solas justifican la visita al monasterio: un espectacular artesonado mud&eacute;jar que cierra la Capilla Mayor y un retablo escult&oacute;rico &uacute;nico en su g&eacute;nero, obra flamenca del siglo XV que narra, con profusi&oacute;n de escenas, la Pasi&oacute;n de Jes&uacute;s.</p>
<p>En la parte del monasterio, abierta al p&uacute;blico, pueden visitarse los claustros, la Sala del Trono y la Sala Capitular, cubiertas con bellos artesonados; el Refectorio, con frescos de la &eacute;poca del rey fundador; yel claustro g&oacute;tico-mud&eacute;jar con jard&iacute;n medieval. Tres tr&iacute;pticos con terracotas de Escuela de Utrech y colecciones de documentos, esculturas, pinturas y muebles hacen m&aacute;s completa la visita.</p>";"Segovia";"1260887608415";1261041373227;20130528;"http://www.museoscastillayleon.jcyl.es/web/jcyl/MuseosCastillayLeon/es/Plantilla100Detalle/1258100892610/_/1261041373227/DirectorioPadre";
