Nombre del Organismo;Descripción;DatosPersonales;Dirección;Calle;CodigoPostal;Localidad;Localidad;SoloClasificar;Teléfono;Telefax oficial;Fax;e-mail;Páginas de internet;Posicion;Información Adicional;Directorio Superior;Identificador Directorio Superior;Identificador;FechaModificacion;Enlace al contenido
Biblioteca Pública Municipal de La Robla;Biblioteca Pública Municipal de La Robla;María Teresa Santos Pérez;C/ Ramón y Cajal, s/n. 24640 La Robla (León);C/ Ramón y Cajal, s/n;24640;Robla (La);1,18E+12;;987 570 439;;;;;42.80275327368569#-5.628776550292969#94;;León;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194505234209/DirectorioPadre
Biblioteca Pública Municipal de Villaquilambre;Biblioteca Pública Municipal de Villaquilambre;Pedro Carnicero;C/ La Era, s/n. 24193 Villaquilambre (León);C/ La Era, s/n;24193;Villaquilambre;1,18E+12;;987 287 211;;;;;42.647454561604285#-5.558888912200928#94;;León;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194505266907/DirectorioPadre
Biblioteca Pública Municipal de Caboalles de Abajo;"Biblioteca Pública Municipal ""Álvarez de la Puerta"" de Caboalles de Abajo";Dulce Mª López Álvarez;;Ctra. Degaña, s/n;24110;Villablino;1,18E+12;;987 490 860, 987 471 984 (Ayto.);;;bibliobabo@hotmail.com;;42.95031324538955#-6.39728307723999#94;;León;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194591159609/DirectorioPadre
Biblioteca Pública Municipal de Benavides de Órbigo;Biblioteca Pública Municipal de Benavides de Órbigo;Cristina Castro Rodríguez;;C/ Conde Luna, 15;24280;Benavides;1,18E+12;;987 370 902, 987 370 003 (Ayto.);;;bibliobenavides@gmail.com;;42.501718626575304#-5.893821716308594#94;;León;1,28E+12;1,19E+12;20140820;http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1194591161073/DirectorioPadre
Biblioteca Pública Municipal de Cistierna;Biblioteca Pública Municipal de Cistierna;Juan Ignacio Álvarez Tascón;C/ Luis Ameijide, s/n. 24800 Cistierna (León);C/ Luis Ameijide, s/n;24800;Cistierna;1,18E+12;;987 700 007, 987 700 002 (Ayto.);987 700 009 (Ayto.);;;;42.80302091148908#-5.12513279914856#100;;León;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194605562453/DirectorioPadre
Biblioteca Pública Municipal de Sabero;"Biblioteca Pública Municipal ""Silvino Fernández"" de Sabero";Juan Manuel Castro Martínez;Avda. Diez de Enero, 53. 24810 Sabero (León);Avda. Diez de Enero, 53;24810;Sabero;1,18E+12;;987 703 122 (Ayto.);987 703 123 (Ayto.);;;;42.834153452384584#-5.1465582847595215#94;;León;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194850940994/DirectorioPadre
Biblioteca Pública Municipal de Arganza;Biblioteca Pública Municipal de Arganza;Begoña Quintana Ovalle;C/ del Val, 40. 24546 Arganza (León);C/ del Val 40;24546;Arganza;1,18E+12;;987 549 411, 987 546 704 (Ayto.);;;;;42.638931214432475#-6.68567419052124#100;;León;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194937232814/DirectorioPadre
Biblioteca Pública Municipal de Puente Castro;Biblioteca Pública Municipal de Puente Castro;;Plaza del Maestro, s/n. 24005 León;Plaza del Maestro, s/n;24005;León;1,18E+12;;987 212 897, 987 276 998 (Ayto.);;;educacion.grdf@aytoleon.com;;42.58002509546801#-5.5526018142700195#94;;León;1,28E+12;1,21E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1213708664304/DirectorioPadre
Biblioteca Pública Municipal de Baltanás;;María José Valdés Nieto;C/ Escuelas, nº 2. 34240 Baltanás;C/ Escuelas, nº 2;34240;Baltanás;1,18E+12;;979 790 049;;;mj_vn@hotmail.com;;41.93847616998428#-4.246124625205994#106;;Palencia;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaPalencia/es/Plantilla100Detalle/1284212879564/_/1194332696008/DirectorioPadre
Biblioteca Pública Municipal de Herrera de Pisuerga;;Carmen Gutiérrez Rebollo;C/ Panamá, s/n. 34400 Herrera de Pisuerga;C/ Panamá, s/n;34400;Herrera de Pisuerga;1,18E+12;;979 140 116;;;bibliotecaherrera@gmail.com;;42.59564932998791#-4.334685802459717#94;;Palencia;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaPalencia/es/Plantilla100Detalle/1284212879564/_/1195196642372/DirectorioPadre
Biblioteca Pública Municipal de Torquemada;;Emilia Sardón Santoyo;C/ Jorge Guillén, s/n. 34230 Torquemada;C/ Jorge Guillén, s/n;34230;Torquemada;1,18E+12;;979 800 116;;;bibliotecatorquemada@hotmail.com;;42.03441669531824#-4.318796396255493#100;;Palencia;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaPalencia/es/Plantilla100Detalle/1284212879564/_/1195196680747/DirectorioPadre
Biblioteca Pública Municipal de Villarramiel;;Angustias Agüera Pérez;C/ Isaac Hijosa, nº 5. 34140 Villarramiel;C/ Isaac Hijosa, nº 5;34140;Villarramiel;1,18E+12;;979 837 502;;;biblioteca_villarramiel@yahoo.es;;42.04249650962893#-4.912063479423523#106;;Palencia;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaPalencia/es/Plantilla100Detalle/1284212879564/_/1195196695889/DirectorioPadre
Biblioteca del Museo de Palencia;;Begoña Villasur Escudero;C/ Plaza del Cordón, nº 1. 34001 Palencia;C/ Plaza del Cordón, nº 1;34001;Palencia;1,18E+12;;979 752 328;979 700 599;;vilescbe@jcyl.es;;42.00976452537869#-4.5351433753967285#94;;Palencia;1,28E+12;1,28E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaPalencia/es/Plantilla100Detalle/1284212879564/_/1284141881146/DirectorioPadre
Biblioteca Pública Municipal de Barruecopardo;;Teresa Iglesias Barahona;;C/ La Ortiga;37255;Barruecopardo;1,18E+12;;923 507 254;;923 507 002;aytobarruecopardo@wanaddo.es;;41.073010322548555#-6.665225028991699#94;;Salamanca;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1195686999450/DirectorioPadre
Biblioteca Pública Municipal de Villares de la Reina;;Samuel Recio;;Ctra. La Mata, 160;37184;Villares de la Reina;1,18E+12;;923 288 587;;923 287 103;cultura@aytovillares.com;;41.00911504014288#-5.651435852050781#88;;Salamanca;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1195687073618/DirectorioPadre
Biblioteca Pública Municipal de Peñaranda de Bracamonte;;María Antonia Moreno Mulas;;Plaza de España, s/n;37300;Peñaranda de Bracamonte;1,18E+12;;923 54 12 00;;923 54 16 87;amoreno@fundaciongsr.es;http://www.fundaciongsr.es;40.90131736391921#-5.2002668380737305#88;;Salamanca;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1195801286556/DirectorioPadre
Biblioteca Pública Municipal de Endrinal;;Ayuntamiento;;Plaza de la Iglesia;37766;Endrinal;1,18E+12;;923 150 005;;;;;40.591144238406095#-5.804085731506348#88;;Salamanca;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1195801306761/DirectorioPadre
Biblioteca Pública Municipal de Terradillos/El Encinar;;Sinforiana Casero Izquierdo;;Trasera de Calle Tormes, s/n;37190;Terradillos;1,18E+12;;923 373 165;;;biblioteca@ayto.terradillos.com;;40.88357190912476#-5.584144592285156#88;;Salamanca;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1195801345670/DirectorioPadre
Biblioteca Pública Municipal de Villavieja de Yeltes;;Antonia Martín Vázquez;;Plaza de la Constitución, 4;37260;Villavieja de Yeltes;1,18E+12;;923 519 005;;923 519 907;aytovillavieja@telefonica.net;;40.874648721748194#-6.4675140380859375#88;;Salamanca;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1195801354417/DirectorioPadre
Fundación Germán Sánchez Ruipérez. Salamanca;;;C/ Peña Primera,14-16, 37002 Salamanca;C/ Peña Primera,14-16;37002;Salamanca;1,18E+12;;;;;fgsr.salamanca@fundaciongsr.es;http://www.fundaciongsr.es/salamanca/;40.96700220722087#-5.666027069091797#88;;Salamanca;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1196233333152/DirectorioPadre
"Biblioteca Pública Municipal ""Torrente Ballester"" de Salamanca";;Francisco Alonso Bringas;;Paseo de los Olivos, 10-22;37005;Salamanca;1,18E+12;;923 282 069;923 282 835;;biblio@aytosalamanca.es;http://bibliotecas.aytosalamanca.es/;40.97775973412575#-5.654697418212891#88;;Salamanca;1,28E+12;1,21E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1207035232999/DirectorioPadre
Taller de Lectura del Barrio Chamberí de Salamanca;;;C/ Núñez Losada s/n. 37008 Salamanca;C/ Núñez Losada s/n;37008;Salamanca;1,18E+12;;;;;;http://bibliotecas.aytosalamanca.es/;40.95277495301265#-5.682806968688965#88;;Salamanca;1,28E+12;1,21E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1207035243704/DirectorioPadre
Biblioteca Pública Municipal de Hontanares de Eresma;;Teresa Pastor Luengo;"C/ Iglesia, s/n. Centro Cultural ""El manantial del Eresma"". 40490 Hontanares de Eresma";"C/ Iglesia, s/n. Centro Cultural ""El manantial del Eresma""";40490;Hontanares de Eresma;1,18E+12;;921 491 100, 921 491 103;921 491 103;;bibliohontanares@gmail.com;;40.98317023669511#-4.202817678451538#94;;Segovia;1,28E+12;1,24E+12;20140313;http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1239801019424/DirectorioPadre
Biblioteca Pública Municipal de Gomayo;;Mª Paz de Miguel Gómez;Centro Cívico. Urbanización Las Camaretas. 42190 Golmayo;Centro Cívico. Urbanización Las Camaretas;42190;Golmayo;1,18E+12;;975 249 139;;;bpm.golmayo@gmail.com;;41.77443225491748#-2.501835823059082#94;;Soria;1,28E+12;1,28E+12;20140313;http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284145906091/DirectorioPadre
Biblioteca Pública Municipal de Nava del Rey;;Inmaculada Martín Rodríguez;;C/ Hospital;47500;Nava del Rey;1,18E+12;;983 850 691;;;;;41.329453283914454#-5.082721710205078#88;;Valladolid;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaValladolid/es/Plantilla100Detalle/1276515979208/_/1193641917948/DirectorioPadre
Biblioteca Pública Municipal de Pedrajas de San Esteban;;Julio César González Arratia;C/ Pinar, 1. 47430 Pedrajas de San Esteban (Valladolid);C/ Pinar, 1;47430;Pedrajas de San Esteban;1,18E+12;;983 625 013;;;cultura@pedrajas.org;;41.3370904443046#-4.582500457763672#88;;Valladolid;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaValladolid/es/Plantilla100Detalle/1276515979208/_/1193641919689/DirectorioPadre
"Biblioteca Pública Municipal ""Blas Pajarero""";;Carmen Lourdes López del Amo;Centro Cívico Delicias, Pº de Juan Carlos I, 20. 47013 Valladolid;Centro Cívico Delicias, Pº de Juan Carlos I, 20;47013;Valladolid;1,18E+12;;983 130 555;;;bmbp@ava.es;;41.637063539200525#-4.718284606933594#88;;Valladolid;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaValladolid/es/Plantilla100Detalle/1276515979208/_/1202286545838/DirectorioPadre
"Biblioteca Pública Municipal ""Santiago de los Mozos"". Centro Cívico Parquesol";;;;C/ Eusebio González Suárez, 69;47014;Valladolid;1,18E+12;;983 132 018;;;bmsm@ava.es;;41.63366365063957#-4.760942459106445#76;;Valladolid;1,28E+12;1,20E+12;20140313;http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1202286549517/DirectorioPadre
Punto de Préstamo Barrio de San Juan. Valladolid;;;;Centro Cívico Bailarín Vicente Escudero. C/ Travesía de Verbena, 1;47005;Valladolid;1,18E+12;;983 130 438;;;ccbve@ava.es;;41.652713542916#-4.715967178344727#88;;Valladolid;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaValladolid/es/Plantilla100Detalle/1276515979208/_/1202286699847/DirectorioPadre
Punto de Préstamo Barrio Belén. Valladolid;;;;C/ Plaza de las Nieves, 14;47011;Valladolid;1,18E+12;;983 266 390;;;;;41.658966067496216#-4.706783294677734#88;;Valladolid;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaValladolid/es/Plantilla100Detalle/1276515979208/_/1202286707970/DirectorioPadre
Biblioteca Histórica de Santa Cruz. Valladolid;;Pilar Rodríguez Marín;Plaza de Santa Cruz, 8. 47002 Valladolid;Plaza de Santa Cruz, 8;47002;Valladolid;1,18E+12;;983 184 271;983 423 234;;biblioteca.historica@uva.es;http://www.bhsc.uva.es/;41.65148701496365#-4.720194339752197#106;;Valladolid;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaValladolid/es/Plantilla100Detalle/1276515979208/_/1202287835560/DirectorioPadre
Biblioteca del Centro Asociado de la UNED en Zamora;;Juan Andrés Blanco;C/ San Torcuato, 43. Colegio Universitario. 49014 Zamora;C/ San Torcuato, 43. Colegio Universitario;49014;Zamora;1,18E+12;;980 528 399;980 512 181;;biblioteca@zamora.uned.es;http://www.uned.es/ca-zamora;41.507621201682404#-5.743719935417175#94;;Zamora;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaZamora/es/Plantilla100Detalle/1284212879708/_/1197282411668/DirectorioPadre
Biblioteca Pública Municipal. Centro Cultural de Alcañices;"Biblioteca Pública Municipal. Centro Cultural ""San Francisco"" de Alcañices";Yolanda Cerezal Gallego;;C/ San Francisco, 30;49500;Alcañices;1,18E+12;;980 680 368 (Btca.), 980 680 001 (Ayto.);;980 680 236 (Ayto.);BPM.ALCAN@gmail.com;;41.69957665997156#-6.346235275268555#88;;Zamora;1,28E+12;1,20E+12;20140825;http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1203344029986/DirectorioPadre
Biblioteca Pública Municipal de Bermillo de Sayago;Biblioteca Pública Municipal de Bermillo de Sayago;Argentina Laguna Álvarez;C/ Las Castañas, s/n (edificio antigua cárcel). 49200 Bermillo de Sayago (Zamora);C/ Las Castañas, s/n (edificio antigua cárcel);49200;Bermillo de Sayago;1,18E+12;;980 610 007 (Ayto.);;980 610 326 (Ayto.);BPM.BERMI@gmail.com;;41.36659948983986#-6.110415458679199#88;;Zamora;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaZamora/es/Plantilla100Detalle/1284212879708/_/1203344045480/DirectorioPadre
Biblioteca Pública Municipal de Morales de Toro;Biblioteca Pública Municipal de Morales de Toro;;;Plaza la Paz, s/n;49810;Morales de Toro;1,18E+12;;980 698 003 (Ayto.), 980 695 060 (Ayto.);;980 698 003 (Ayto.);BPM.MTORO@gmail.com;;41.5369484333286#-5.308327674865723#88;;Zamora;1,28E+12;1,20E+12;20140825;http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1203344053793/DirectorioPadre
Biblioteca Pública Municipal de Santibáñez de Vidriales;Biblioteca Pública Municipal de Santibáñez de Vidriales;Teresa Bailez Alonso;C/ Mayor, 27. 49610 Santibáñez de Vidriales (Zamora);C/ Mayor, 27;49610;Santibáñez de Vidriales;1,18E+12;;980 648 186 (Ayto.);;980 648 339 (Ayto.);BPM.SANTV@gmail.com;;42.074017082142134#-6.01475715637207#88;;Zamora;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaZamora/es/Plantilla100Detalle/1284212879708/_/1203344082834/DirectorioPadre
Biblioteca Pública Municipal de Tábara;"Biblioteca Pública Municipal de Tábara ""Alicia Casado""";Raquel Herrera Arroyo;C/ Abrazamozas, s/n. 49140 Tábara (Zamora);Calle Abrazamozas, s/n;49140;Tábara;1,18E+12;;980 590 229;;;BPM.TABARA@gmail.com;;41.825667973587926#-5.9607696533203125#88;;Zamora;1,28E+12;1,28E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaZamora/es/Plantilla100Detalle/1284212879708/_/1284225298521/DirectorioPadre
Biblioteca Pública Municipal de Coca;;Sara López González;Plaza Mayor, 1 bajo. 40480 Coca;Plaza Mayor, 1 bajo;40480;Coca;1,18E+12;;;;;coca@siacajasegovia.com;;41.21842017249852#-4.5224833488464355#94;;Segovia;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSegovia/es/Plantilla100Detalle/1284212879636/_/1191909670724/DirectorioPadre
