ows_LinkTitle,ows_Zona,ows_Georeferencia,ows_CodigoPostal,ows_Direccion,ows_Telefono,ows_Fax,ows_Web,ows_Accesibilidad,ows_FechaActualizacion,ows_Horarios,ows_Actividad,ows_Activo,ows_Email,ows_Municipio,ows_Image,ows_ComoLlegarEspanol,ws_ComoLlegarIngles,ows_ComoLlegarAleman,ows_ComoLlegarFrances,ows_ComoLlegarItaliano,ows_HorariosIngles,ows_HorariosAleman,ows_HorariosFrances,ows_HorariosItaliano
"La Laguna -  Aeropuerto Tfe. Norte Los Rodeos ","Metropolitana","(28.482573524849567, -16.342849731445312)","38297","Aeropuerto Tenerife Norte - Los Rodeos","922 82 50 46","","http://www.aytolalaguna.es","","2014-01-21 10:27:19","Lun.-Dom. : 09:00 - 17:00","Oficinas de información Turística","1","turismo.laguna@cabtfe.es","San Cristóbal de la Laguna","../PublishingImages/la_laguna[2].jpg","","","","","","","","",""
"San Miguel de Abona","Sur","(28.03933428449891, -16.612915992736816)","38620","Avda. Galván Bello, s/n ","922 73 86 64","922 72 75 01","http://www.costasanmiguel.com","","2014-01-27 14:31:35","Lun-Vie. : 08:30 - 14:30","Oficinas de información Turística","1","costasanmiguel@sanmigueldeabona.org","San Miguel de Abona","../PublishingImages/OIT San Miguel.jpg","Entrada de la urbanización Gof del Sur, a mano derecha, pasando la fuente.","","","","","","","",""
"Santa Cruz (Cabildo)","Metropolitana","(28.467172818038, -16.24768763780594)","38003","Plaza de España, s/n","922 28 12 87 ","922 28 49 65","http://www.todotenerife.es","","2012-05-09 11:16:27","De Lun. a Vie.: 09.00-18.00. Sáb., Dom. y día festivo: 09.30-13.30","Oficinas de información Turística","1","","Santa Cruz de Tenerife","../PublishingImages/oficina-de-turismo-de-plaza-de-espana_61527.jpg","","","","","","","","",""
"Santa Cruz de Tenerife (C.I.T.)","Metropolitana","(28.479786537494075, -16.242114544438664)","38001","Avda. de Anaga, s/n.  ","922 24 84 61","922 66 21 69","http://www.cit-tenerife.org","","2014-02-27 12:39:13","Lun-Vie. : 09:00 - 16:00 y Sáb.: 09:00 -13:00","Oficinas de información Turística","1","infocit@telefonica.net","Santa Cruz de Tenerife","../PublishingImages/CIT SANTA CRUZ.JPG","","","","","","","","",""
"Santa Cruz - Intercambiador ","Metropolitana","(28.459221371653598, -16.253522615879774)","38005","Intercambiador TITSA C/ Fomento, s/n (zona guaguas interurbanas)","922 28 95 36 ","922 28 95 36 ","","","2014-02-27 10:58:08","Lun-Vie. : 09:00 - 17.:00. Sab-Dom.: 09:00-14:00","Oficinas de información Turística","1","cityexpertinter@gmail.com","Santa Cruz de Tenerife","../PublishingImages/OIT INTERCAMBIADOR.JPG","","","","","","","","",""
"Santa Cruz de Tenerife - Calle Castillo","Metropolitana","(28.4660559, -16.24919729999999)","","C/ Castillo, 1. (C/Castillo con C/Cruz Verde)","922 28 95 36","922 28 95 36","","","2013-11-13 23:10:37","Lun-Vie. : 09:00 - 17.:00. Sab-Dom.: 09:00-14:00","Oficinas de información Turística","1","cityexpertcastillo@gmail.com","Santa Cruz de Tenerife","../PublishingImages/Santa Cruz Calle el Castillo Sociedad de Desarrollo.JPG","","","","","","","","",""
"Santiago del Teide - Playa La Arena","Sur","(28.2293797, -16.840908600000034)","38683","Ctro. Com. Seguro de Sol, Avda. Marítima, Local 34. Playa la Arena","922 86 03 48","922 86 03 48","http://www.santiagodelteide.org","","2014-01-21 08:25:40","Lun-Vie. : 7:30 - 15:00h","Oficinas de información Turística","1","turismo@santiagodelteide.es","Santiago del Teide","../PublishingImages/fotos oficina 005.jpg","","","","","","","","",""
"Aeropuerto Tenerife Norte Los Rodeos","Metropolitana","(28.486802589139625, -16.34782934153918)","38297","Zona de Llegadas (recogida de equipajes) en Aeropuerto Tenerife Norte.  ","922 63 51 92 ","922 25 54 33","http://www.webtenerife.com","","2014-01-21 13:22:37","Lun-Dom. : 09:00 - 21:00 h.","Oficinas de información Turística","1","info@webtenerife.com","San Cristóbal de la Laguna","../PublishingImages/S6001589.JPG","Desde Santa Cruz y zona norte por la autopista TF-5. Desde el sur por la TF-1, la conexión TF-2 y posteriormente la TF-5.","From Santa Cruz and the north through the TF-5. From the south through TF-1, junction TF-2 and finally TF-5.","","","","","","",""
"Sur (C.I.T)","Sur","(28.0726101, -16.731365900000014)","38660","Avda. Rafael Puig, 17 ","922 79 33 12","922 79 33 90","","","2012-03-29 15:02:12","De Lun. a Vie. 09.00 - 13.00","Oficinas de información Turística","1","info@citsur.com","Adeje","../PublishingImages/cartel_oficina_004[1].jpg","","","","","","","","",""
"Granadilla - El Médano","Sur","(28.043950586126744, -16.538506150245667)","38612","Plaza de los Príncipes de España, s/n","922 17 60 02","922 17 60 02","http://www.granadilladeaona.org","","2013-07-17 10:09:18","Lun.-Vie.: 09:00 - 15:00 y Sáb.: 09:00 - 14:00","Oficinas de información Turística","1","turismo@granadilladeabona.org","Granadilla de Abona","../PublishingImages/ofi nueva.jpg","","","","","","","","",""
"Arona - Playa de Las Vistas","Sur","(28.050445, -16.717322700000068)","38650","P.º Marítimo Playa de Las Vistas. Los Cristianos","922 78 70 11","","http://www.arona.travel","","2012-07-14 09:12:18","Lunes a Viernes 8:30-18:00 horas /   Sábado y Domingo: 8:30-16:00 horas","Oficinas de información Turística","1","info-vistas@arona.travel","Arona","../PublishingImages/17_7275_1.jpg","","","","","","","","",""
"Aeropuerto Tenerife Sur Reina Sofía","Sur","(28.0464178, -16.577046300000006)","38610","Aeropuerto Tenerife Sur","922 39 20 37","922 39 20 37","http://www.todotenerife.es","","2011-11-16 11:36:25","Oct.- Jun.:  de Lun. a Vie. 09.00-21.00; Sab. y Dom. 09.00-17.00;  Jul.- Sep.: de  Lun. a Vie. 09.00-19.00; Sab. y Dom. 09.00-17.00","Oficinas de información Turística","1","huete@cabtfe.es","Granadilla de Abona","../PublishingImages/Pantalla táctil 4.jpg","","","","","","","","",""
"Arona - Playa de Las Galletas ","Sur","(28.0064055, -16.655876499999976)","38631","P.º Marítimo Dionisio Glez. Delgado, 1. Las Galletas","922 73 01 33","","http://www.arona.travel","","2012-07-14 09:01:04","Lunes a Viernes 8:00-15:30 horas.","Oficinas de información Turística","1","info-galletas@arona.travel","Arona","../PublishingImages/0_11114_1.jpg","","","","","","","","",""
"Puerto de la Cruz","Norte","(28.418084010213544, -16.550034284591675)","38400","Casa de la Aduana - C/ Las Lonjas, s/n","922 38 60 00","922 38 47 69","http://www.todotenerife.es","","2011-11-16 12:16:43","De Lun. a Vie.: 09:00-20:00; Sáb. y Dom.: 09:00-17:00","Oficinas de información Turística","1","manuelp@tenerife.es","Puerto de la Cruz (El)","../PublishingImages/PTOCRUZCASADEADUANAAlta.jpg","","","","","","","","",""
"Buenavista del Norte","Isla Baja","(28.371797426644615, -16.85162991285324)","38480","Plza. de Los Remedios, s/n - Casa Matula","922 12 80 80","922 12 80 93","http://www.buenavistadelnorte.com","","2011-11-16 11:43:24","De octubre a marzo: lunes a viernes de 09.00 a 15.00 horas - sábados de 09.00 a 13.00 horas. De abril a septiembre: lunes a viernes de 09.00 a 16.00 horas - sábados (cerrado)","Oficinas de información Turística","1","turismo@buenavistadelnorte.com","Buenavista del Norte","../PublishingImages/Matula-005.jpg","En guagua:  Desde Santa Cruz (por el norte): Línea 107 Santa Cruz - Buenavista Línea 363 Puerto de La Cruz - Buenavista Desde Santa Cruz (por el sur): Línea 110 Santa Cruz - Playa de Las Américas Línea 460 Icod de Los Vinos - Playa de Las Américas Línea 355 Valle de Santiago - Buenavista   En otros transportes: Carretera TF-436 Santiago del Teide -Buenavista del Norte Autopista Norte TF-5 Carretera TF-42 Puerto de la Cruz - Buenavista del Norte  A la llegada a la zona centro de Buenavista del Norte, tomar la C/. La Alhóndiga hasta llegar a la Plaza de Los Remedios. La OIT se encuentra en una de las esquinas de la plaza, a mano izquierda. ","","Mit dem Bus:  Von Santa Cruz (Norden): Line 107 Santa Cruz - Buenavista Line 363 Puerto de La Cruz - Buenavista Von Santa Cruz (Süden): Line 110 Santa Cruz - Playa de Las Américas Line 460 Icod de Los Vinos - Playa de Las Américas Line 355 Valle de Santiago - Buenavista   Andere Transportwege: Straße TF-436 Santiago del Teide-Buenavista del Norte Autobahn TF-5  TF-42 Puerto de la Cruz - Buenavista del Norte   Bei der Ankunft im Zentrum von Buenavista del Norte, nehmen Sie die Alhóndiga Strasse bis zur Plaza de Los Remedios. Die OIT ist in einer Ecke des Platzes auf der linken Seite.","","","","","",""
"Centro de Visitantes Parque Rural de Teno","Isla Baja","(28.345941, -16.8460149)","38480","Finca Los Pedregales, s/n-El Palmar","922 44 79 70","922 12 80 43","http://www.tenerife.es/wps/portal/tenerifees/medioambiente/espaciosnaturales/categoriasproteccion/parquesrurales/ParqueRuralTeno","","2012-03-30 15:35:58","De lunes a viernes 08.00-15.00","Oficinas de información Turística","1","tenoparque@tenerife.es","Buenavista del Norte","../PublishingImages/finca-los-pedregales Parque Rural de Teno.jpg","","","","","","","","",""
"Tacoronte","Norte","(28.476990674415823, -16.41533374786377)","38350","Ctra. Tacoronte-Tejina, s/n","922 57 00 15","922 57 00 15","http://www.tacoronte.es","","2012-08-14 12:20:38","De Lunes a Viernes 9:00 a 13:00 horas","Oficinas de información Turística","1","turismo@aytotacoronte.org","Tacoronte","../PublishingImages/DSC00343.JPG","Lineas Titsa 101, 051, 012, 021,023.","Bus Routen, 101,051, 012,023,021","Buslinien.  101,051, 012,023,021","","","","","",""
"Adeje - Playa de Troya","Sur","(28.067213656409855, -16.73244473990053)","38660","Avda. Rafael Puig Lluvina, nº1 - Costa Adeje","922 98 50 80","922 78 89 55","http://www.costa-adeje.es","","2014-01-21 15:27:48","Lunes-Domingo 10:00h a 17:00h.","Oficinas de información Turística","1","turismo@adeje.es","Adeje","../PublishingImages/OIT Troya Imágenes 013.jpg","Si ha llegado al aeropuerto de Los Rodeos, que se encuentra ubicado en la parte noreste de Tenerife, cerca de la ciudad de La Laguna (Patrimonio Histórico de la Humanidad) debe usted saber qué en coche y/o taxi tardará una hora en llegar a Costa Adeje. Si elige el transporte público, tardará aproximadamente dos horas en llegar. Si se encontrase en el aeropuerto Reina Sofía, ubicado en la zona sur de Tenerife, está a tan sólo 20 minutos en coche y/o taxi de Costa Adeje. Si tomase la guagua (transporte público) tardará unos 40 minutos aproximadamente. La Oficina de Turismo de Troya se encuentra en la calle Rafael Puig de Lluvina, nº1, en el término municipal de Adeje y directamente al comienzo de la conocida Playa de Troya. ","If you arrive at the airport of Los Rodeos which is located in the northeast side of Tenerife, near by the Unesco's World Heritage City of La Laguna, you only are one hour by car or taxi from Costa Adeje away. If you choose the local bus service, it will take you around two hours. If you are at the airport Reina Sofia which is located in the South of Tenerife you are only 20 minutes away by car or taxi from Costa Adeje. With the bus it will take you around 40 minutes. The Tourist Information Office of Troya is located at the street calle Rafael Puig de Lluvina, nº1, in Adeje, at the famous beach Playa de Troya. ","Von dem Flughafen Los Rodeos, im Norden Teneriffa´s, brauchen Sie mit Auto oder Taxi ungefähr eine Stunde bis Sie in Costa Adeje ankommen. Mit dem öffentlichen Bus sind Sie ungefähr zwei Stunden unterwegs Vom Südflughafen, Reina Sofía, sind Sie mit Auto oder Taxi, 20 Minuten bis Costa Adeje unterwegs. Mit dem Bus, wären 40 Minuten nötig. Das Fremdenverkehrsbüro von Troya befindet sich in calle Rafael Puig de Lluvina, nº1, Adeje. Bei den bekannten Strand, Playa de Troya.  ","","","","","",""
"Candelaria - Caletillas (C.I.T)","Sur","(28.37522177344538, -16.36263370513916)","38520","Avda. Maritíma, 176 d  Plaza del C.I.T.","922 50 04 15","","http://www.citcandelaria.com","","2014-01-31 12:45:34","De lunes a viernes: 10 a 14 horas","Oficinas de información Turística","1","info@citcandelaria.com","Candelaria","../PublishingImages/logooriginal  con CIT CANDELARIA.bmp","","","","","","","","",""
"Arona - Los Cristianos","Sur","(28.050445, -16.717322700000068)","38650","Avda. Juan Carlos I. Estación de Guaguas  Los Cristianos","922 75 71 30","","http://www.arona.travel","","2012-07-14 08:48:52","Lunes a Viernes 8:30-16:00 horas. ","Oficinas de información Turística","1","info-cristianos@arona.travel","Arona","../PublishingImages/oit los cristianos.jpg","","","","","","","","",""
"Icod de los Vinos (C.I.T)","Norte","(28.366429792118662, -16.714221958536655)","38430","C/ San Sebastián, 6","922 81 21 23","","","","2014-02-27 12:31:53","Lun-Vie. : 09:00 - 13:00 y de 15:00 - 19:00","Oficinas de información Turística","1","citicod@telefonica.net","Icod de los Vinos","../PublishingImages/cit_icod[1].jpg","","","","","","","","",""
"Nordeste Punta del Hidalgo (C.I.T)","Metropolitana","(28.571260653490352, -16.31791591644287)","38240","Plaza Sebastián Ramos, s/n","922 15 78 32","","","","2012-08-02 14:52:47","9:00 - 15:00 horas","Oficinas de información Turística","1","citnordeste@gmail.com","San Cristóbal de la Laguna","../PublishingImages/cit_nordeste.png","","","","","","","","",""
"Arona - Patronato Municipal de Turismo","Sur","(28.1006319, -16.68012939999994)","38640","Calle El Calvario, 5. Arona Casco ","922 72 51 80","922 72 51 86","http://www.arona.travel","","2012-08-02 15:42:42","Lunes a Viernes de 8:00 a 15:00 horas","Oficinas de información Turística","1","turismo@arona.travel","Arona","../PublishingImages/Patronato.jpg","","","","","","","","",""
"Guia de Isora - Playa de San Juan","Sur","(28.1820934, -16.81385260000002)","38687","Av. Juan Carlos I s/n","922 13 89 87","","http://www.guiadeisora.org","","2014-01-28 12:00:43","10:00 - 16.00","Oficinas de información Turística","1","info.playasanjuan@guiadeisora.org","Guía de Isora","../PublishingImages/Copia de oit_playa_san_juan.jpg","Si ha llegado al aeropuerto de Tenerife Norte, Los Rodeos, situado en el Municipio de San Cristóbal de La Laguna (Patrimonio Histórico de la Humanidad) deberá tomar la salida a la Autopista del Sur TF-1 en dirección a Los Cristianos. Al término de la autopista deberá tomar la TF-47 hasta el núcleo poblacional de Playa San Juan. Si se encontrase en el Aeropuerto de Tenerife Sur Reina Sofía deberá tomar la TF-1 hasta el término de ésta y luego la TF-47 hasta el núcleo poblacional de Playa San Juan. La oficina de Turismo de Playa San Juan, se encuentra al principio del paseo de la playa donde termina la Avda del Emigrante y comienza la Avda Juan Carlos I,  frente al puerto Tiempo estimado:  Desde Tenerife Norte: coche/taxi 1,5h; Guagua 2,5h.  Desde Tenerife Sur: coche/taxi 45min; Guagua 1,5h   ","If you are at Tenerife North Airport that is located in San Cristobal de La Laguna, you should take the highway TF-1 to Los Cristianos. At the end of this one you should take the TF-47 to village of Playa San Juan. If you are at Tenerife South Airport Reina Sofía you should take the TF-1 until the end of this one, and then take the TF-47 to Playa San Juan. The tourist information office of Alcalá is located at at the beginning of the beach promenade where Avda del Emigrante end and Avda Juan Carlos I Starts, front to the port. Expected time: From North Tenerife: by taxi/car 1,5h; Bus 2,5h From South Tenerife: by taxi/car 45min; Bus 1,5h ","","","","","","",""
"Guía de Isora - Alcalá","Sur","(28.2027105, -16.829325100000005)","38687","Paseo la Jaquita s/n ","922 86 51 51","","http://www.guiadeisora.org","","2014-01-24 12:51:46","9:00 - 15:00","Oficinas de información Turística","1","info.alcala@guiadeisora.org","Guía de Isora","../PublishingImages/foto_oit alcala.jpg","Si ha llegado al aeropuerto de Tenerife Norte, Los Rodeos, situado en el Municipio de San Cristóbal de La Laguna (Patrimonio Histórico de la Humanidad) deberá tomar la salida a la Autopista del Sur TF-1 en dirección a Los Cristianos. Al término de la autopista deberá tomar la TF-47 hasta el núcleo poblacional de Alcalá.  Si se encontrase en el Aeropuerto de Tenerife Sur Reina Sofía deberá tomar la TF-1 hasta el término de ésta y luego la TF-47 hasta el núcleo poblacional de Alcalá. La oficina de Turismo de Alcalá, se encuentra en el Paseo de la Jaquita s/n, al final de la calle Carero a la derecha sobre el paseo (justo debajo del Hotel Palacio de Isora) Tiempo estimado:  Desde Tenerife Norte: coche/taxi 1,5h; Guagua 2,5h.  Desde Tenerife Sur: coche/taxi 45min; Guagua 1,5h   ","If you are at Tenerife North Airport that is located in San Cristobal de La Laguna, you should take the highway TF-1 to Los Cristianos. At the end of this one you should take the TF-47 to village of Alcalá. If you are at Tenerife South Airport Reina Sofía you should take the TF-1 until the end of this one, and then take the TF-47 to village of Alcalá. The tourist information office of Alcalá is located at Paseo de La Jaquita, at the right side of the end of Carero road, on the promenade. (Near to Hotel Palacio de Isora) Expected time: From North Tenerife: by taxi/car 1,5h; Bus 2,5h From South Tenerife: by taxi/car 45min; Bus 1,5h ","","","","","","",""
"Guía de Isora ","Sur","(28.2097804, -16.780933900000036)","38680","Av. Isora s/n","922 85 12 22","","http://www.guiadeisora.org","","2014-01-24 12:50:45","8:00 - 14:00","Oficinas de información Turística","1","info.guia@guiadeisora.org","Guía de Isora","../PublishingImages/IMG00412-20120110-0951.jpg","Si ha llegado al aeropuerto de Tenerife Norte, Los Rodeos, situado en el Municipio de San Cristóbal de La Laguna (Patrimonio Histórico de la Humanidad) deberá tomar la salida a la Autopista del Sur TF-1 en dirección a Los Cristianos. Al término de la autopista deberá tomar la TF-82 hasta el Municipio de Guía de Isora. Si se encontrase en el Aeropuerto de Tenerife Sur Reina Sofía deberá tomar la TF-1 hasta el término de ésta y luego la TF-82 hasta el Municipio de Guía de Isora. La Oficina de Turismo de Guía de Isora se encuentra en la Avenida  de Isora, s/n, en el término municipal de Guía de Isora, justo delante del Centro Cultural. Tiempo estimado:  Desde Tenerife Norte: coche/taxi 1,5h; Guagua 2,5h.  Desde Tenerife Sur: coche/taxi 45min; Guagua 1,5h   ","If you are at Tenerife North Airport that is located in San Cristobal de La Laguna, you should take the highway TF-1 to Los Cristianos. At the end of this one you should take the TF-82 to township of Guía de Isora..  If you are at Tenerife South Airport Reina Sofía you should take the TF-1 until the end of this one, and then take the TF-82 to township of Guía de Isora. The tourist information office of Guía de Isora is located at Avenida de Isora, in front to the Cultural Center Expected time: From North Tenerife: by taxi/car 1,5h; Bus 2,5h From South Tenerife: by taxi/car 45min; Bus 1,5h ","","","","","","",""
"Centro de Visitantes Los Silos","Isla Baja","(28.365392114617155, -16.81771078703605)","38470","Plaza Ntra Sra de La Luz nº9","922 84 10 86","922 84 01 17","http://www.lossilos.es","","2012-04-09 11:02:50","De lunes a viernes de 9 a 13 h.  Sábados de 9 a 14h","Oficinas de información Turística","1","cipa@lossilos.es","Silos (Los)","../PublishingImages/Centro de visitantes.jpg","","","","","","","","",""
"Santiago del Teide - Acantilado de Los Gigantes","Sur","(28.2434289, -16.839847700000064)","38683","Avda. José González Forte","922 86 81 86","","http://www.santiagodelteide.org","","2014-02-27 12:36:25","MARTES A SÁBADO- 09:00-16:00hrs","Oficinas de información Turística","1","turismolosgigantes@santiagodelteide.es","Santiago del Teide","","","","","","","","","",""
"Santiago del Teide - Santiago del Teide","Sur","(28.2961444, -16.814611300000024)","38690","Av la Iglesia, 64 Santiago del Teide","922 83 92 20","922 83 92 20","http://www.santiagodelteide.org","","2012-08-02 15:10:20","martes a sábado 9:00-14:00h","Oficinas de información Turística","1","santiago.turismo@santiagodelteide.es","Santiago del Teide","","","","","","","","","",""
"Tegueste","Norte","(28.5230539, -16.33629350000001)","38230","Plaza San Marcos, 20","922 31 61 02 ","","http://www.tegueste.es","","2013-11-28 09:22:02","martes a sábado 7:30-15:00","Oficinas de información Turística","1","turismo@tegueste.org","Tegueste","","","","","","","","","",""
"El Tanque","Isla Baja","(28.356326308828926, -16.777705550193787)","38435","Avda. Príncipes de España Nº22","922 13 65 64","","http://www.eltanque.es","","2014-01-21 10:30:28","Lun. Mie. Vie de 8:00 a 14:30. Mar y Jue de 8:00 a 13:00","Oficinas de información Turística","1","Oficinadeturismoeltanque@gmail.com","Tanque (El)","../PublishingImages/Oficina turismo.jpg","","","","","","","","",""
"Centro de iniciativas y turismo de Güímar","Sur","(28.3097545, -16.416087800000014)","38500","Avda. Obispo Pérez Cáceres nº18 Güímar Tenerife","922511590","","http://www.citguimar.es","","2013-05-02 13:56:27","8.30-14.30","Oficinas de información Turística","1","citguimar@hotmail.com","Güímar","../PublishingImages/logo cit.jpg","Edificio Fonda Medina","","","","","","","",""
